filename,material,label,pitch_mean,pitch_std,spectral_centroid_mean,spectral_centroid_std,energy_mean,energy_std,zcr_mean,zcr_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_mfcc_1_mean,delta_mfcc_1_std,delta_mfcc_2_mean,delta_mfcc_2_std,delta_mfcc_3_mean,delta_mfcc_3_std,delta_mfcc_4_mean,delta_mfcc_4_std,delta_mfcc_5_mean,delta_mfcc_5_std,delta_mfcc_6_mean,delta_mfcc_6_std,delta_mfcc_7_mean,delta_mfcc_7_std,delta_mfcc_8_mean,delta_mfcc_8_std,delta_mfcc_9_mean,delta_mfcc_9_std,delta_mfcc_10_mean,delta_mfcc_10_std,delta_mfcc_11_mean,delta_mfcc_11_std,delta_mfcc_12_mean,delta_mfcc_12_std,delta_mfcc_13_mean,delta_mfcc_13_std,start_pitch_mean,start_pitch_std,start_mfcc_1_mean,start_mfcc_2_mean,start_mfcc_3_mean,start_mfcc_4_mean,start_mfcc_5_mean,start_mfcc_6_mean,start_mfcc_7_mean,start_mfcc_8_mean,start_mfcc_9_mean,start_mfcc_10_mean,start_mfcc_11_mean,start_mfcc_12_mean,start_mfcc_13_mean,middle_pitch_mean,middle_pitch_std,middle_mfcc_1_mean,middle_mfcc_2_mean,middle_mfcc_3_mean,middle_mfcc_4_mean,middle_mfcc_5_mean,middle_mfcc_6_mean,middle_mfcc_7_mean,middle_mfcc_8_mean,middle_mfcc_9_mean,middle_mfcc_10_mean,middle_mfcc_11_mean,middle_mfcc_12_mean,middle_mfcc_13_mean,end_pitch_mean,end_pitch_std,end_mfcc_1_mean,end_mfcc_2_mean,end_mfcc_3_mean,end_mfcc_4_mean,end_mfcc_5_mean,end_mfcc_6_mean,end_mfcc_7_mean,end_mfcc_8_mean,end_mfcc_9_mean,end_mfcc_10_mean,end_mfcc_11_mean,end_mfcc_12_mean,end_mfcc_13_mean
glass_half1.m4a,glass,half,539.2048154305015,536.8550502898073,2482.593893016655,530.9450809665533,0.018670134246349335,0.013549260795116425,0.15370198212336245,0.06939050630709195,-329.7992248535156,209.92320251464844,81.18832397460938,23.710004806518555,-27.238224029541016,27.69988441467285,7.456356525421143,7.26426887512207,-17.892322540283203,18.679014205932617,18.779888153076172,9.505646705627441,5.26867151260376,7.677209854125977,-0.8250455856323242,8.701053619384766,-3.8525192737579346,7.720998287200928,10.250200271606445,7.208040714263916,-6.152351379394531,12.420804023742676,1.1995338201522827,6.283848762512207,-0.1358536332845688,5.9644012451171875,2.4516236782073975,7.5472636222839355,0.2634008526802063,2.5738561153411865,-0.28984230756759644,2.470618963241577,-0.028713755309581757,1.2553530931472778,-0.11930621415376663,1.7469524145126343,0.09858613461256027,1.3636610507965088,-0.022237228229641914,1.123907208442688,-0.0134598258882761,1.176264762878418,-0.06210870295763016,1.167398452758789,0.01927807740867138,1.03522527217865,-0.10488617420196533,1.0918476581573486,-0.018898405134677887,0.841631293296814,0.005166973918676376,0.9836341738700867,350.44057652437846,540.6769334687858,-626.8486938476562,101.74993896484375,-3.7211053371429443,19.965421676635742,-0.9316959977149963,21.810407638549805,8.828572273254395,4.39494514465332,-1.7579309940338135,11.405980110168457,5.604344844818115,4.909753322601318,-1.0357143878936768,743.6928095145473,485.72044897140654,-198.17161560058594,63.49440002441406,-45.27998352050781,3.9233555793762207,-32.64300537109375,13.548656463623047,0.2405093014240265,-5.918790817260742,-3.4511430263519287,14.805194854736328,-9.07646369934082,0.3957146108150482,-2.7251358032226562,580.8924858980071,499.91998881575955,-176.22366333007812,90.45451354980469,-41.20450973510742,5.628636360168457,-25.193561553955078,25.568063735961914,4.114594459533691,1.624168038368225,-8.765320777893066,6.996506690979004,-16.910640716552734,-0.01174035295844078,1.9386309385299683
glass_half2.m4a,glass,half,449.30811600622656,477.20435681976176,2365.8643419647037,502.59507091708133,0.0204716045409441,0.014800685457885265,0.1455216972748815,0.07222509940693925,-326.31585693359375,211.71142578125,83.12821960449219,18.76535987854004,-24.90806007385254,31.777034759521484,10.357317924499512,11.194973945617676,-13.453429222106934,20.545063018798828,20.428279876708984,8.653599739074707,6.010332107543945,8.83837890625,-1.2591103315353394,8.361705780029297,-4.090439796447754,7.383793830871582,12.245148658752441,7.727094650268555,-9.177607536315918,14.27659797668457,-0.0209908876568079,8.430072784423828,-0.2217130959033966,6.488430023193359,2.5322885513305664,8.034619331359863,0.27873656153678894,2.610991954803467,-0.35701966285705566,2.4901766777038574,-0.09417546540498734,1.5964714288711548,-0.11078543215990067,1.710784912109375,0.011189849115908146,1.1823478937149048,-0.048560623079538345,1.2038494348526,-0.07748787105083466,1.0120166540145874,-0.025609739124774933,0.9419846534729004,0.037970349192619324,1.057210922241211,-0.07363730669021606,1.0370758771896362,0.0069826385006308556,0.9250681400299072,0.06882517784833908,0.896845281124115,188.46279222613776,350.70412585705924,-628.24365234375,103.90666961669922,4.968069076538086,28.85555076599121,5.361545085906982,22.21873664855957,9.603490829467773,2.344831943511963,-0.43600496649742126,11.731057167053223,5.117493629455566,7.066901683807373,-4.11499547958374,752.3359168495033,465.9059857795764,-191.14613342285156,73.5065689086914,-46.76955795288086,2.477583646774292,-28.99970054626465,15.942718505859375,1.313771367073059,-6.288132190704346,-8.408158302307129,14.535460472106934,-17.171588897705078,-3.1453166007995605,-2.2176997661590576,415.08390899290583,433.9575293022288,-173.37062072753906,86.82362365722656,-41.86079406738281,6.61798095703125,-23.28493309020996,27.82889747619629,3.7874820232391357,2.732931613922119,-5.96467924118042,12.873806953430176,-16.77357292175293,-2.416240692138672,4.845272541046143
glass_half3.m4a,glass,half,414.89735333222046,445.31901699991846,2284.951798148533,524.5659906498767,0.01876581273972988,0.014732640236616135,0.14191666025246305,0.06779057538944203,-348.5885925292969,217.5487518310547,88.29096984863281,23.0289249420166,-26.876323699951172,27.983488082885742,1.0233299732208252,7.483884334564209,-17.888111114501953,19.921276092529297,16.534835815429688,7.247199535369873,6.606353282928467,9.066146850585938,1.0989516973495483,7.758851051330566,-4.374495983123779,8.597397804260254,10.302663803100586,8.7476167678833,-6.074167251586914,10.376545906066895,-1.6824374198913574,6.769340991973877,-2.34269118309021,5.738785266876221,2.7607955932617188,7.356223106384277,0.27877211570739746,2.7410922050476074,-0.3612758219242096,2.1201846599578857,-0.06888022273778915,1.279204249382019,-0.22934873402118683,1.4504218101501465,0.026296285912394524,1.035170555114746,-0.04724198207259178,0.9945675134658813,-0.05568058416247368,0.9655041098594666,-0.10516061633825302,0.9988649487495422,0.039013806730508804,1.1652134656906128,-0.08227136731147766,0.9344209432601929,0.0011691894615069032,0.835595428943634,-0.011582870036363602,0.7846113443374634,83.39593423637626,18.635783014735985,-660.20654296875,123.12208557128906,-4.384974479675293,7.34946346282959,0.6060265302658081,20.24396324157715,9.877599716186523,10.055366516113281,2.645969867706299,6.096667289733887,3.221961498260498,4.606739044189453,0.4918413758277893,751.4745303718976,475.6055577504073,-227.8882293701172,68.3258056640625,-50.08130645751953,0.16385860741138458,-27.501514434814453,14.044771194458008,-2.357703447341919,-5.286266326904297,-6.871798515319824,18.565927505493164,-7.0031633377075195,-3.216032028198242,-2.391953468322754,398.99813604419484,398.490612349085,-177.5753936767578,94.10398864746094,-39.00282669067383,4.488399505615234,-33.32720947265625,20.703779220581055,8.300607681274414,1.9932012557983398,-11.316914558410645,8.23142147064209,-15.726524353027344,-5.4157538414001465,-5.527761459350586
glass_half4.m4a,glass,half,328.16508982208103,375.36465182307035,2510.2790053272097,508.87441655349954,0.02237876132130623,0.01696832664310932,0.15605961510894495,0.07264837661173329,-324.2622985839844,220.2516326904297,75.98628234863281,20.616060256958008,-31.049346923828125,29.8676700592041,9.229284286499023,10.993297576904297,-19.565799713134766,25.68052864074707,16.497575759887695,7.876950740814209,2.8554208278656006,9.189228057861328,-2.718684434890747,8.9601469039917,-7.711987018585205,11.124005317687988,10.580307006835938,9.443450927734375,-4.327614784240723,9.928175926208496,2.5662999153137207,5.619311332702637,2.4219119548797607,5.115090847015381,2.645526647567749,8.440250396728516,0.35679709911346436,2.5650761127471924,-0.3200480043888092,2.7209227085113525,-0.030881252139806747,1.5152668952941895,-0.2093837559223175,1.6880249977111816,0.048772480338811874,1.3161566257476807,-0.04111434519290924,0.8933873176574707,-0.054992396384477615,1.3379406929016113,-0.10188547521829605,1.1557676792144775,0.029846418648958206,1.0829129219055176,-0.05398344248533249,0.8643767237663269,-0.003085467731580138,0.7337621450424194,0.020969608798623085,0.8350592851638794,170.8877433880532,367.5316523050372,-645.6339111328125,101.07300567626953,-7.398951530456543,26.534164428710938,7.220664024353027,20.206144332885742,9.532890319824219,5.963766574859619,3.431553363800049,7.459358215332031,1.2180919647216797,4.543384552001953,0.5669968128204346,561.0968116913775,372.8023600143269,-185.40345764160156,59.565277099609375,-57.26259994506836,-1.7860163450241089,-38.04926300048828,15.192209243774414,-4.833216190338135,-6.017660140991211,-10.40805721282959,17.521726608276367,-2.578904390335083,2.9869534969329834,3.286310911178589,264.34198708956825,265.25528795255354,-158.57122802734375,84.43915557861328,-40.24868392944336,13.868978500366211,-35.58135986328125,19.67040252685547,0.7414734959602356,-5.8176374435424805,-17.811918258666992,8.276283264160156,-12.803666114807129,1.4465351104736328,2.7285053730010986
glass_half5.m4a,glass,half,519.4801150007776,498.83306243406275,2571.7908538550764,500.0135536644859,0.01891307160258293,0.014829901047050953,0.15744833909828243,0.057172080465542424,-317.7825012207031,184.2632293701172,78.88380432128906,25.403207778930664,-32.759761810302734,26.56448745727539,9.09521484375,10.288900375366211,-18.353578567504883,16.32843589782715,16.354511260986328,9.752498626708984,-0.8254532217979431,8.452466011047363,6.197272300720215,8.597750663757324,-3.1853554248809814,8.891300201416016,6.124932765960693,9.114320755004883,-6.654601573944092,10.641643524169922,2.3031344413757324,5.58563232421875,-0.29621070623397827,6.8073248863220215,2.159844398498535,5.744676113128662,0.2894229292869568,3.442748785018921,-0.21430011093616486,2.0986664295196533,-0.034700144082307816,1.5286493301391602,-0.15604130923748016,1.5585460662841797,0.022479984909296036,1.321219801902771,-0.06984987109899521,1.1923292875289917,0.03738485276699066,1.1206252574920654,-0.039843443781137466,1.2025741338729858,0.03831450268626213,1.1758744716644287,-0.054520126432180405,0.8111698031425476,0.014904338866472244,0.8307962417602539,0.008194086141884327,0.9600605368614197,114.6750949399899,112.36702929191335,-573.0286865234375,107.20083618164062,-6.179098606109619,22.613075256347656,-5.8484416007995605,16.66380500793457,-1.2266443967819214,6.209264755249023,-2.898813009262085,5.581334590911865,-0.18538765609264374,6.610198974609375,1.2338221073150635,894.8378259725673,528.0600681415021,-226.04852294921875,57.917301177978516,-55.47578430175781,2.2813045978546143,-25.519372940063477,19.00838851928711,0.8241674304008484,3.200740098953247,0.8583084344863892,15.548287391662598,-4.841141700744629,4.021866321563721,0.22289423644542694,638.373567920241,435.1207524318459,-163.26026916503906,80.01445770263672,-42.78837585449219,8.999706268310547,-29.200428009033203,18.357887268066406,-6.525134086608887,13.447887420654297,-11.008676528930664,0.3823351562023163,-17.629289627075195,-1.0859980583190918,-4.31842041015625
hard _plastic_full1.m4a,hard_plastic,full,324.1562910626032,369.7140198500405,2290.9113903674224,582.9415191052939,0.02457668073475361,0.01768251694738865,0.14928708319369974,0.0691450665019847,-268.20208740234375,159.7450714111328,84.95411682128906,14.578747749328613,-17.887367248535156,31.593069076538086,16.743492126464844,11.22514820098877,-16.369953155517578,16.2913761138916,15.001425743103027,12.083903312683105,-0.6408731341362,9.033981323242188,-6.446715831756592,7.953804969787598,-6.938651084899902,7.742724895477295,8.882637023925781,6.821552753448486,-11.313241004943848,9.928662300109863,1.2061411142349243,7.080445766448975,1.743134617805481,5.150726795196533,0.35285961627960205,6.344830513000488,0.20542743802070618,1.9935132265090942,0.026981119066476822,2.0924181938171387,0.07970596849918365,1.1255276203155518,-0.026765117421746254,1.374290943145752,-0.012430881150066853,1.297824740409851,0.027234448119997978,1.154701828956604,0.012257548049092293,1.0091431140899658,0.01732451468706131,0.9226283431053162,0.011243244633078575,0.9914543628692627,0.0012381760170683265,0.9053816795349121,-0.003473014337942004,0.8521549105644226,-0.003167788963764906,0.7325837016105652,382.13464867320437,499.40974236575494,-401.5861511230469,80.60662841796875,1.7914832830429077,15.122125625610352,-13.737555503845215,3.916161298751831,-0.6575138568878174,-2.4464120864868164,-0.957522451877594,9.413289070129395,-6.448365211486816,-2.0358991622924805,0.23822282254695892,323.9914356239231,301.69774080920797,-183.59066772460938,87.47978210449219,-32.97503662109375,11.304174423217773,-23.612781524658203,21.34292221069336,2.2260959148406982,-10.809653282165527,-12.504014015197754,9.669891357421875,-14.740447998046875,1.6308127641677856,3.5982186794281006,252.8343691292427,228.66721559493666,-219.86770629882812,87.85704803466797,-23.443904876708984,24.656530380249023,-12.463590621948242,20.387666702270508,-4.122284412384033,-5.611950397491455,-7.883988857269287,7.996127128601074,-13.28853988647461,4.354169845581055,0.9747745990753174
hard _plastic_full2.m4a,hard_plastic,full,435.4902039268588,456.10354484096877,2397.4953968386517,657.6750212358895,0.024898294359445572,0.017051033675670624,0.1624497767857143,0.06982487188844662,-262.7861633300781,165.00930786132812,79.55415344238281,16.34638023376465,-20.387556076049805,35.65668869018555,17.2590389251709,9.396472930908203,-16.626615524291992,15.849026679992676,18.19496726989746,12.311037063598633,-2.1056594848632812,9.721725463867188,-5.510334491729736,7.913208961486816,-9.090922355651855,8.672768592834473,7.12642240524292,5.537394046783447,-14.371247291564941,10.2466402053833,-0.2017543613910675,5.357883930206299,3.66935658454895,5.644421100616455,1.296729564666748,4.079402923583984,0.1741327941417694,1.874887228012085,-0.08739136159420013,2.2412874698638916,0.054487381130456924,1.3285499811172485,-0.09590601176023483,1.1690690517425537,0.03416772931814194,1.2044239044189453,-0.027142612263560295,1.200843095779419,0.011328514665365219,1.0745129585266113,-0.01572209782898426,0.9766970276832581,0.02809799648821354,0.7137777209281921,-0.027551081031560898,0.8386696577072144,0.0035423068329691887,0.6772636771202087,0.02490418590605259,0.6727361083030701,424.4071864127933,593.3905386205141,-460.65924072265625,75.1971664428711,13.679239273071289,21.50120735168457,-3.1996700763702393,9.442537307739258,-0.953453779220581,-5.143618106842041,-2.8430979251861572,7.1797099113464355,-3.524327516555786,0.5928447842597961,0.4326392412185669,597.4247789558241,449.7431802294449,-176.01747131347656,86.7958984375,-40.63679885864258,12.450971603393555,-30.369382858276367,21.770769119262695,3.4266421794891357,-7.697291374206543,-15.257081031799316,6.540501117706299,-20.760637283325195,-2.003924608230591,2.943171739578247,319.9462167145409,256.80076413405874,-159.62478637695312,82.51360321044922,-33.2338981628418,16.536516189575195,-16.615983963012695,23.426082611083984,-8.636054039001465,-3.678739309310913,-9.026665687561035,7.668411731719971,-18.84957504272461,0.907905101776123,7.912737846374512
hard _plastic_full3.m4a,hard_plastic,full,352.1963468469432,354.7090303759547,2384.6525537926473,622.5897390728773,0.028898082673549652,0.02028879150748253,0.15605070153061223,0.068571628094356,-248.1547393798828,155.00950622558594,80.39122009277344,13.756369590759277,-21.42989730834961,33.3396110534668,18.740482330322266,11.55736255645752,-16.84601402282715,17.936119079589844,18.84652328491211,11.897612571716309,-4.074370384216309,9.868050575256348,-5.180754661560059,6.725867748260498,-9.76198959350586,7.946182727813721,7.4966559410095215,5.330397605895996,-14.623021125793457,11.819269180297852,0.555189847946167,6.899214267730713,2.53688645362854,5.430107593536377,0.990078866481781,5.015065670013428,0.20733742415905,1.80437433719635,-0.04465373232960701,2.2195396423339844,0.08672350645065308,1.4256198406219482,-0.012618573382496834,1.186266303062439,0.026095125824213028,1.2193069458007812,-0.07201569527387619,1.190987229347229,-0.04106398671865463,0.9818578362464905,-0.03826462849974632,0.9084607362747192,0.019789796322584152,0.6680009961128235,-0.02949737384915352,0.8437818288803101,-0.008851750753819942,0.8407821655273438,-0.009162894450128078,0.8112723231315613,349.44114345812386,439.2029244012691,-398.6373596191406,78.63261413574219,2.53774094581604,17.1091365814209,-12.189624786376953,7.672814846038818,-0.8550187945365906,-3.322265863418579,-2.4004268646240234,5.676114082336426,-6.082895278930664,-1.6068921089172363,-0.8077566623687744,436.0990186236149,323.95181703700405,-171.5540008544922,83.17475128173828,-36.823814392089844,15.191793441772461,-27.13782501220703,24.117450714111328,0.5117592215538025,-9.13379192352295,-13.224127769470215,5.607758522033691,-17.555049896240234,1.152748465538025,6.610445022583008,287.5324010634037,294.15056337117966,-175.15023803710938,80.08272552490234,-30.478515625,24.31730842590332,-11.637016296386719,25.053125381469727,-12.068459510803223,-2.8420352935791016,-13.919398307800293,11.470149993896484,-20.245098114013672,2.265937089920044,1.7375991344451904
hard _plastic_full4.m4a,hard_plastic,full,415.0849259256331,476.6358296160505,2377.3837661793727,738.2162387541864,0.021636981517076492,0.013465061783790588,0.1650390625,0.0783408808679029,-289.160888671875,189.3973388671875,86.99081420898438,25.626693725585938,-21.46135139465332,37.33246994018555,19.446678161621094,7.690385818481445,-18.066425323486328,16.340187072753906,20.71779441833496,14.170517921447754,-1.4175291061401367,8.388021469116211,-7.933290481567383,7.083695411682129,-9.982437133789062,7.506992816925049,9.336857795715332,5.884191036224365,-10.132493019104004,9.077528953552246,-0.26095303893089294,5.692105293273926,3.2384254932403564,5.840851783752441,1.6600970029830933,4.992349624633789,0.15363430976867676,2.6084048748016357,-0.22992925345897675,1.981351613998413,0.006719148717820644,1.1358073949813843,-0.14108532667160034,1.0545498132705688,0.050938207656145096,1.247455358505249,-0.01473456621170044,1.0403670072555542,-0.005688731092959642,0.9390277862548828,-0.053274914622306824,0.7940512299537659,0.054103098809719086,0.7798638343811035,-0.040460459887981415,0.7328675985336304,-0.0005441440735012293,0.8767148852348328,-0.01060407143086195,0.7766983509063721,333.17722551665673,532.099286553109,-532.4497680664062,117.41532135009766,8.106861114501953,30.151094436645508,-5.016987323760986,13.403371810913086,-1.0753990411758423,-3.678079605102539,-4.703131675720215,7.713005065917969,-0.20455482602119446,3.2003889083862305,0.19164983928203583,486.82044599915076,383.1680479722496,-179.93878173828125,81.01557922363281,-42.02241897583008,15.636910438537598,-32.365482330322266,21.073020935058594,-3.095778226852417,-8.676838874816895,-12.366124153137207,8.809629440307617,-17.310205459594727,-3.5504040718078613,2.7241106033325195,408.4796087794451,514.2562308597328,-168.42449951171875,77.91697692871094,-41.06494140625,19.878873825073242,-21.69595718383789,30.625446319580078,-2.163135051727295,-10.144515991210938,-14.167317390441895,12.613409042358398,-13.431594848632812,-0.22633273899555206,6.61146879196167
hard _plastic_full5.m4a,hard_plastic,full,466.36152039860053,460.62273030424967,2322.5906410741422,622.1770648862167,0.02922547236084938,0.022671453654766083,0.15708811690167682,0.07285570664597989,-252.81492614746094,155.89340209960938,81.96337890625,15.764718055725098,-20.73747444152832,33.6871223449707,17.111474990844727,10.005352020263672,-16.877395629882812,18.70693588256836,18.113147735595703,11.992897033691406,-2.944704294204712,11.909897804260254,-6.377040386199951,6.7649383544921875,-7.4101386070251465,7.90113639831543,7.167463302612305,7.051389217376709,-13.05048656463623,10.32876205444336,-3.3016226291656494,7.6957783699035645,0.2044774889945984,4.082544803619385,0.8950059413909912,5.941538333892822,0.2985387444496155,2.1556544303894043,-0.09036797285079956,2.304309368133545,0.06913021206855774,1.122653841972351,0.003910134546458721,1.3452544212341309,0.054012496024370193,1.2168697118759155,-0.033611834049224854,1.2530070543289185,0.01570620760321617,0.8789851665496826,0.01748126931488514,0.8852120637893677,0.02628297545015812,1.0072683095932007,0.003790023736655712,0.9770128726959229,0.026619086042046547,0.9636635780334473,0.003254553535953164,0.6509321331977844,337.7063692585918,413.4704918046705,-402.01409912109375,78.7920150756836,6.852324962615967,19.36972427368164,-12.258749961853027,5.67921257019043,-1.6163175106048584,-3.8650922775268555,-3.8102593421936035,5.006197452545166,-7.230579376220703,-3.791978359222412,-0.8569031953811646,780.6965275935869,471.3780546243998,-173.03988647460938,82.17034149169922,-38.3310661315918,11.676689147949219,-26.939218521118164,25.724023818969727,4.614759922027588,-8.364873886108398,-14.239883422851562,8.432439804077148,-16.096044540405273,-5.467020034790039,1.001295804977417,289.65115942472136,314.1736452275916,-184.42489624023438,85.4122085571289,-30.991119384765625,20.45591926574707,-11.650382041931152,23.082454681396484,-12.074756622314453,-6.823967933654785,-4.016932487487793,8.193901062011719,-15.820951461791992,-0.5064200162887573,0.5618134140968323
